VO_KO_Yelan_Hello.ogg  ||  안녕, 여행자, 야란이라고 불러줘. 내 도움이 필요해 보이네. 마침 나도 네가 가진 정보에 관심 있거든. 어쨌든, 서로 도우면서 사이좋게 지내보자고
VO_KO_Yelan_About_the_Vision.ogg  ||  중요한 정보가 있는 장소에는 종종 치명적인 살기가 숨겨져 있어. 믿음직한 부하가 아무리 많아도 리스크를 완벽하게 배제할 순 없지. 그러니까 가장 중요한 건 상황을 타파할 수 있는 무력이야. 난 그 이치를 깨닫고 얼마 지나지 않아 「신의 눈」을 얻었으니 운이 좋은 편이지. 그렇지 않았다면 여기서 너와 얘길 나누는 건… 꾀죄죄하고 추레한 귀신이었을 거야
VO_KO_Yelan_Anything_to_Share_-_Blocking_Out_Noise.ogg  ||  추추 보옥은 잘 다듬으면 귀마개로 사용할 수 있을 만큼 방음 효과가 좋아. 누가 네 귓가에서 울부짖어도 절대 단잠에서 깨어나지 않을 정도랄까…. 물론, 넌 이걸 사용할 일이 없길 바라
VO_KO_Yelan_Anything_to_Share_-_Fascinating_Bracelet.ogg  ||  오른손의 팔찌? 너한테는 알려줘도 상관없겠지…. 이 팔찌에는 우리 가문의 술법이 담겨 있어. 간단한 정보를 전달할 수 있지. 정보의 의미는 이 푸른빛 속에 숨겨져 있어. 그 의미를 알아볼 수 있는 사람은 나뿐이야
VO_KO_Yelan_Anything_to_Share_-_Pursuing_the_Target.ogg  ||  난 타깃을 추적할 때 상대방에게 심리적인 압박을 가하는 경향이 있어. 적들은 도망치는 과정에서 대개 당황하며 지원을 요청하거나 계획을 변경하거든…. 그러다가 내막을 전부 털어놓게 되는 거야, 훗…
VO_KO_Yelan_Interesting_Things.ogg  ||  혹시 보물 사냥 족제비 알아? 지능이 뛰어나진 않지만 훈련을 거치면 반복적인 절도는 물론, 자물쇠도 열 수 있어. 정말 생생한 예시지? 방법만 맞으면 동물도 알맞은 장기 말로 쓰일 수 있는데, 암투를 벌이는 인간들은 어떻겠어?
VO_KO_Yelan_About_Ningguang_-_Relationship.ogg  ||  응광과는 그녀가 칠성이 아니었을 때부터 아는 사이였어. 한동안 같이 일했던 적도 있었고. 응광이 예정보다 일찍 칠성이 된 건, 어느 정도 내 덕일지도? 후후, 누가 알겠어? 어쨌든, 지금 이 일은 응광이 추천해 준 거야. 확실히 나한테 잘 맞는 직업이지
VO_KO_Yelan_About_Ningguang_-_Expectations.ogg  ||  응광은 꽤 괜찮은 협력 파트너야. 하지만 평소에는 신분을 신경 쓰면서 행동해야 돼. 총무부 직원이 칠성을 보면 예우를 갖춰야 하니까
VO_KO_Yelan_About_Ganyu.ogg  ||  그 비서 말이구나…. 난 그 비서처럼 종일 업무에 매달릴 순 없어. 게다가 그녀의 업무 효율도 흠잡을 데 없잖아. 인간과 신수의 혼혈이라는 혈통이 꽤 편리한 모양이야. 잠을 안 자도 체력을 유지할 수 있잖아
VO_KO_Yelan_About_Keqing.ogg  ||  난 일정을 빼곡하게 채우는 사람을 별로 좋아하지 않아. 그런 사람들은 대개 일정을 조율할 여지를 남겨두지 않아서 돌발 상황이 생기면 당황해서 동료들한테 민폐 끼치기 십상이지. 하지만 「옥형」은 예외야. 항상 일사불란하게 일을 처리하거든. 함께 일할 때마다 아주 즐거웠던 기억이 나
VO_KO_Yelan_About_Yanfei.ogg  ||  연비? 꽤 마음에 들어. 과거의 친분을 떠나서 명성이 자자한 법률 자문가인 연비에게 리월항의 수많은 정보가 모이기 마련이지. 매번 연비를 도와 사건을 해결할 때마다 귀한 단서를 얻을 수 있어. 다만 나한테 너무 깍듯하게 대하는 것 같아
VO_KO_Yelan_About_Xiao.ogg  ||  가문의 어르신들은 「호법야차」에게 최고의 경외심을 가져야 한다고 하셨어. 정신이 오락가락하시는 그 선조조차 망서 객잔을 지날 때면 보기 드물게 얌전해지셨다고 해. 악한 것들을 퇴치하는 호법야차의 위압에 잠깐의 평안을 얻으신 게 분명해. 하지만 언젠가 그 「항마대성」의 옆에서 싸울 기회가 온다면, 난 그의 신분을 신경 쓰지 않고 임무를 최우선으로 할 거야
VO_KO_Yelan_About_Xiangling.ogg  ||  향릉은 아주 기특한 요리사지. 식재료를 고르는 기준도 유리정과 신월헌 못지않아. 향릉한테서 바람에 말린 절운고추를 사곤 하는데, 그 애는 내가 매운 걸 먹는 방식이 이해 안 가는 모양이야. 물론 구태여 설명하고 싶진 않아. 우리 가문의 전통이거든
VO_KO_Yelan_About_Xingqiu.ogg  ||  누군지 기억나. 비운 상회의 작은 도련님이잖아. 그 가문과는 왕래가 잦은 편이야. 어쩌면 그도 나중에 많은 걸 꿰뚫어 보는 사람이 될지도 모르지
VO_KO_Yelan_About_Tartaglia.ogg  ||  그 우인단의 집행관? 그 사람 덕에 의도치 않게 이득을 봤어. 「암상 찻집」의 전임 사장을 자세히 조사하려고 한 적이 있는데, 그 집행관이 더 빨리 움직였더라고. 찾아가서 빚 갚으라고 협박하고, 그 사장이 만든 가짜 장부를 공개해서 옥살이까지 시키더라. 덕분에 난 암상 찻집을 이어받아서 좋은 거점을 얻게 됐지
VO_KO_Yelan_More_About_Yelan_-_01.ogg  ||  너한테 베팅을 걸고 싶은 이유는 네 특수한 신분을 염두에 뒀기 때문이야. 넌 내게 「진실」로 향하는 단서를 많이 가져다줄 수 있을 것 같거든…. 후후, 오늘은 어떤 소식을 가져왔어?
VO_KO_Yelan_More_About_Yelan_-_02.ogg  ||  정보를 교환할 땐 평등이 중요해. 너한테 과거에 있었던 일을 얘기해도 상관없겠지. 난 가문 덕에 천암군의 척후 부대에서 다양한 재주를 배웠어. 그래서 어릴 적부터 이쪽 업계에 발 들이게 됐지. 정보를 수집하는 과정에서 수많은 방해가 있었지만, 목숨을 잃지만 않는다면 최후의 승자는 항상 나였어…
VO_KO_Yelan_More_About_Yelan_-_03.ogg  ||  단서들은 서로 단단히 맞물려 있어. 그것들을 끊임없이 따라가서 모든 것의 근원을 찾아내야 비로소 사건을 매듭지을 수 있지. 그러기 위해서는 각 업계에 눈과 귀를 퍼뜨려야 해. 그 과정에서 난 자연스럽게 여러 가지 역할을 연기하게 되지. 그래서 내가 「천 가지 얼굴」을 가졌다고 하는 사람도 있더라고. 어쨌든 칭찬으로 받아들이고 있어
VO_KO_Yelan_More_About_Yelan_-_04.ogg  ||  과거에 있었던 일을 섣불리 조사하다가 목숨을 잃을 수도 있다고 나한테 경고한 사람이 있었지…. 하지만 난 그만두지 않을 거야. 다른 사람의 말 때문에는 더더욱 멈추지도 않을 거고. 설령 사실을 못 바꾼다 해도, 안개에 휩싸인 채로 살고 싶진 않아. 너라면, 어떤 선택을 할 거지?
VO_KO_Yelan_More_About_Yelan_-_05.ogg  ||  그러고 보니, 넌 네 곁에 있는 내가 어떤 사람이었으면 좋겠어? 단순한 협력 파트너? 널 단련시킬 수 있는 경쟁 상대? 많고 많은 지인 중 한 명… 아니면… 중요한 동료? 네 기대와 태도에 따라 난 어떤 역할이든 「연기」하거나 「되어줄」 수 있어
VO_KO_Yelan_Hobbies.ogg  ||  한가할 땐 즉흥적으로 일정을 정하는 편이야. 방법은 간단해. 리스트를 만들고 주사위를 던져서 다음 일정을 결정하는 거지. 이런 심심풀이는 의외의 재미도 있지만, 사고의 경계도 넓혀주거든…. 내 본업에도 적잖게 도움이 되고
VO_KO_Yelan_Troubles.ogg  ||  일부 무인들에 비하면 사실 내 체력이 그리 좋은 편은 아니야. 이건 우리 가문의 유전적인 문제지. 소홀히 할 수 없는 업무를 처리하기 전에는 생활 패턴을 조절하고 힘을 비축해서 될수록 한 번에 처리하려고 노력하고 있어. 그 외의 시간에는 최대한 여유로운 생활 리듬을 유지하고 있지. 그러니까, 몸 쓰는 일은 사절이야
VO_KO_Yelan_Favorite_Food.ogg  ||  바람에 말린 절운고추와 유리주머니의 꽃술을 함께 갈아 가루로 만든 다음, 운래 백호차에 골고루 섞어서 진하게 우려내면, 그윽한 향기에 분명 취해버릴걸? 난 커피나 독한 술보다, 이런 여운이 남는 음료를 더 선호해
VO_KO_Yelan_Least_Favorite_Food.ogg  ||  단 음식은 항상 조심해야 돼. 그 강렬한 만족감은… 사람의 의지력을 흐트러뜨리고 경각심을 풀어버리거든. 몇 번만 먹어도 푹 빠지기 쉽다니까. 오랫동안 단 걸 즐기면 자기도 모르는 사이에 둔해질지도 몰라
VO_KO_Yelan_Receiving_a_Gift_-_01.ogg  ||  음, 솜씨가 제법인데? 하마터면 이 뇌물에 넘어갈 뻔했어
VO_KO_Yelan_Receiving_a_Gift_-_02.ogg  ||  매운맛에 익숙해진 뒤로 다른 요리는 뭔가 부족한 느낌이야. 어쩔 수 없지
VO_KO_Yelan_Receiving_a_Gift_-_03.ogg  ||  주사위 한번 던져 볼래? 나보다 작은 숫자가 나오면… 네가 먹는 걸로?
VO_KO_Yelan_Birthday.ogg  ||  이런 날까지 「축하하는 분위기에 휩쓸려서 경계를 늦추지 마. 당할 수도 있으니까」라고 경고하는 건 너무 분위기 깨지? 어쨌든, 오늘은 편하게 즐겨. 「암상 찻집」에 내가 특별히 준비한 디저트 먹으러 올래? 물론, 달진 않아. 아주 조금 매울 뿐이야
VO_KO_Yelan_Feelings_About_Ascension_-_01.ogg  ||  내가 하는 일에 전투 기술은 빠질 수 없어
VO_KO_Yelan_Feelings_About_Ascension_-_02.ogg  ||  필요할 순간에 빠르고 정확하게 손을 써야 거짓을 밝히고 방해를 배제할 수 있지
VO_KO_Yelan_Feelings_About_Ascension_-_03.ogg  ||  「진실」을 찾는 게 듣기에는 쉬워 보여도, 단서를 장시간 물고 늘어지는 의지력과 위험한 상황에 깊게 파고들 수 있는 실력이 필요해
VO_KO_Yelan_Feelings_About_Ascension_-_04.ogg  ||  난 널 가장 중요한 정보원으로 생각하고 있어. 그러니까 네가 나한테 최후의 해답을 가져다줄 때 따르게 될 위험을 맞이할 만반의 준비를 해야지. 가자, 그 답을 찾으러!
VO_KO_Yelan_Elemental_Skill_1_01.ogg  ||  회수
VO_KO_Yelan_Elemental_Skill_1_02.ogg  ||  잡았다
VO_KO_Yelan_Elemental_Skill_1_03.ogg  ||  아프다고 울지 마
VO_KO_Yelan_Elemental_Burst_01.ogg  ||  마무리~ 작업 끝!
VO_KO_Yelan_Elemental_Burst_02.ogg  ||  얽혀들어라
VO_KO_Yelan_Elemental_Burst_03.ogg  ||  어떤 수가 나오려나?
VO_KO_Yelan_Sprint_Start_01.ogg  ||  조급해할 것 없어
VO_KO_Yelan_Sprint_Start_02.ogg  ||  
VO_KO_Yelan_Deploying_Wind_Glider_01.ogg  ||  
VO_KO_Yelan_Opening_Treasure_Chest_01.ogg  ||  보물찾기에 일가견 있네
VO_KO_Yelan_Opening_Treasure_Chest_02.ogg  ||  보물상자는 미끼로도 쓸 수 있어
VO_KO_Yelan_Opening_Treasure_Chest_03.ogg  ||  흩어진 재물은 소리 없는 단서지
VO_KO_Yelan_Low_HP_01.ogg  ||  흥이 다 깨져버렸잖아…
VO_KO_Yelan_Low_HP_02.ogg  ||  대충 넘기긴 글렀군…
VO_KO_Yelan_Low_HP_03.ogg  ||  새로운 변수야…
VO_KO_Yelan_Ally_at_Low_HP_01.ogg  ||  거기까지. 이만 물러서
VO_KO_Yelan_Ally_at_Low_HP_02.ogg  ||  마무리는 나한테 맡겨
VO_KO_Yelan_Fallen_01.ogg  ||  어디서부터… 잘못된 거지?
VO_KO_Yelan_Fallen_02.ogg  ||  이런 말도 안 되는… 실수를…
VO_KO_Yelan_Fallen_03.ogg  ||  진실은… 아직 밝혀지지 않았어…
VO_KO_Yelan_Light_Hit_Taken_01.ogg  ||  대단한 배짱이군
VO_KO_Yelan_Light_Hit_Taken_02.ogg  ||  
VO_KO_Yelan_Heavy_Hit_Taken_01.ogg  ||  아니…
VO_KO_Yelan_Heavy_Hit_Taken_02.ogg  ||  
VO_KO_Yelan_Joining_Party_01.ogg  ||  타깃이 걸려들었구나?
VO_KO_Yelan_Joining_Party_02.ogg  ||  이제 그물을 걷으러 가자고
VO_KO_Yelan_Joining_Party_03.ogg  ||  새로운 소식 좀 알아보러 갈까?
VO_KO_Yelan_Light_Attack_01.ogg  ||  
VO_KO_Yelan_Mid_Attack_01.ogg  ||  
VO_KO_Yelan_Heavy_Attack_01.ogg  ||  
VO_KO_Yelan_Climbing_01.ogg  ||  
VO_KO_Yelan_Climbing_Breath_01.ogg  ||  
VO_KO_Yelan_Jumping_01.ogg  ||  
